"sex","age","socprof","income","marital","depress","sport","nofriend","smoke","nociga","alcabuse","bmi"
"MALE",25,"EMPLOYED IN PRIVATE SECTOR",1050,"SINGLE",3,"YES",85,"NO",NA,"NO",21.4619366241636
"FEMALE",45,"EMPLOYED IN PUBLIC SECTOR",3000,"MARRIED",9,"YES",0,"NO",NA,"NO",28.1969212010364
"FEMALE",89,"RETIRED",1500,"WIDOWED",16,"YES",3,"NO",NA,"NO",27.1808999081726
"MALE",75,"RETIRED",850,"MARRIED",9,"YES",2,"NO",NA,"NO",28.1969212010364
"FEMALE",73,"RETIRED",980,"WIDOWED",13,"YES",0,"NO",NA,"NO",25.2595155709343
"MALE",54,"EMPLOYED IN PUBLIC SECTOR",2000,"DIVORCED",2,"NO",55,"NO",NA,"NO",23.4375
"FEMALE",42,"LONG-TERM SICK/DISABLED",-8,"SINGLE",19,"YES",10,"YES",15,"NO",19.7055324211779
"FEMALE",32,"EMPLOYED IN PRIVATE SECTOR",2000,"MARRIED",1,"NO",9,"YES",10,"NO",21.5138585105239
"MALE",57,"LONG-TERM SICK/DISABLED",900,"MARRIED",4,"YES",4,"YES",20,"NO",25.6055363321799
"FEMALE",30,"EMPLOYED IN PUBLIC SECTOR",-8,"SINGLE",0,"YES",1,"NO",NA,"NO",21.6311488543503
"FEMALE",25,"EMPLOYED IN PUBLIC SECTOR",1500,"SINGLE",4,"YES",10,"NO",NA,"NO",23.8054016620499
"FEMALE",52,"OTHER ECONOMICALLY INACTIVE",1500,"MARRIED",1,"YES",5,"NO",NA,"NO",29.7441998810232
"FEMALE",21,"PUPIL OR STUDENT",-8,"SINGLE",0,"NO",2,"NO",NA,"NO",22.8623685413809
"MALE",45,"UNEMPLOYED",560,"WIDOWED",9,"YES",3,"NO",NA,"NO",29.8605512257756
"FEMALE",81,"RETIRED",900,"WIDOWED",18,"YES",7,"NO",NA,"NO",19.3771626297578
"FEMALE",73,"LONG-TERM SICK/DISABLED",1115,"WIDOWED",11,"NO",2,"NO",NA,"NO",38.2149901380671
"FEMALE",73,"RETIRED",825,"WIDOWED",9,"YES",10,"YES",15,"NO",29.7619047619048
"MALE",27,"UNEMPLOYED",-8,"MARRIED",0,"NO",11,"NO",NA,"NO",24.6559096158047
"FEMALE",75,"RETIRED",900,"MARRIED",9,"YES",2,"YES",20,"NO",31.2294543063774
"FEMALE",69,"LONG-TERM SICK/DISABLED",720,"MARRIED",11,"YES",20,"NO",NA,"NO",31.9750148720999
"FEMALE",35,"OTHER ECONOMICALLY INACTIVE",-8,"MARRIED",7,"YES",4,"YES",7,"NO",22.3081499107674
"FEMALE",27,"UNEMPLOYED",500,"MARRIED",6,"YES",8,"NO",NA,"NO",27.681660899654
"FEMALE",16,"PUPIL OR STUDENT",-8,"SINGLE",0,"NO",20,"NO",NA,"NO",19.2276878705336
"MALE",77,"RETIRED",1900,"MARRIED",4,"NO",25,"NO",NA,"NO",24.4646016033724
"FEMALE",58,"RETIRED",1600,"SINGLE",4,"NO",4,"YES",20,"NO",27.0551508844953
"MALE",57,"OTHER ECONOMICALLY INACTIVE",NA,"SINGLE",19,"YES",4,"NO",NA,"YES",19.53125
"FEMALE",31,"PUPIL OR STUDENT",1500,"SINGLE",2,"YES",4,"NO",NA,"NO",21.6049382716049
"FEMALE",57,"EMPLOYED IN PUBLIC SECTOR",1547,"MARRIED",6,"YES",3,"NO",NA,"NO",25
"FEMALE",30,"EMPLOYED IN PRIVATE SECTOR",-8,"SINGLE",0,"YES",4,"YES",20,"NO",NA
"MALE",48,"FARMER",1000,"MARRIED",2,"NO",0,"NO",NA,"NO",24.7554643159039
"FEMALE",54,"LONG-TERM SICK/DISABLED",720,"MARRIED",15,"YES",0,"NO",NA,"NO",35.9963269054178
"MALE",32,"UNEMPLOYED",NA,"SINGLE",0,"YES",7,"YES",20,"YES",24.4535684096124
"FEMALE",68,"RETIRED",875,"MARRIED",10,"YES",3,"NO",NA,"NO",26.0261748958953
"FEMALE",63,"RETIRED",1200,"DIVORCED",8,"YES",2,"NO",NA,"NO",17.7154195011338
"FEMALE",62,"RETIRED",802,"MARRIED",7,"YES",4,"NO",NA,"NO",21.09375
"MALE",61,"RETIRED",1420,"MARRIED",3,"NO",3,"NO",NA,"NO",30.6689049586777
"MALE",26,"EMPLOYED IN PUBLIC SECTOR",3500,"SINGLE",1,"YES",6,"YES",10,"YES",24.021275987303
"FEMALE",24,"UNEMPLOYED",1100,"SINGLE",5,"NO",3,"NO",NA,"NO",26.171875
"FEMALE",75,"RETIRED",700,"MARRIED",16,"YES",10,"NO",NA,"NO",NA
"FEMALE",17,"PUPIL OR STUDENT",-8,"SINGLE",1,"YES",4,"NO",NA,"NO",26.5643447461629
"MALE",58,"UNEMPLOYED",300,"MARRIED",4,"YES",2,"NO",NA,"NO",30.9304380760005
"MALE",63,"RETIRED",1990,"MARRIED",5,"NO",8,"YES",10,"NO",29.3847566574839
"FEMALE",61,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",11,"YES",4,"YES",20,"NO",25.2363403300753
"FEMALE",67,"RETIRED",500,"MARRIED",12,"YES",4,"NO",NA,"NO",29.0005948839976
"FEMALE",64,"RETIRED",1300,"MARRIED",2,"YES",4,"YES",15,"NO",35.15625
"MALE",37,"UNEMPLOYED",500,"SINGLE",3,"YES",8,"YES",6,"NO",19.0194420963652
"FEMALE",23,"UNEMPLOYED",NA,"SINGLE",0,"NO",20,"NO",NA,"NO",23.8894628099174
"MALE",24,"EMPLOYED IN PRIVATE SECTOR",1200,"SINGLE",3,"NO",4,"NO",NA,"NO",25.7116620752984
"MALE",24,"EMPLOYED IN PRIVATE SECTOR",2000,"SINGLE",0,"NO",10,"YES",12,"NO",21.952479338843
"FEMALE",48,"EMPLOYED IN PUBLIC SECTOR",1500,"WIDOWED",2,"NO",10,"YES",10,"NO",22.4913494809689
"FEMALE",88,"RETIRED",950,"MARRIED",18,"YES",4,"YES",10,"NO",19.0311418685121
"FEMALE",76,"RETIRED",1700,"MARRIED",9,"YES",12,"NO",NA,"NO",31.0204081632653
"FEMALE",26,"EMPLOYED IN PUBLIC SECTOR",1750,"SINGLE",0,NA,6,"NO",NA,"NO",20.8209399167162
"FEMALE",44,"EMPLOYED IN PRIVATE SECTOR",1400,"WIDOWED",0,"YES",2,"YES",10,"NO",28.5779606767261
"FEMALE",70,"RETIRED",890,"DIVORCED",10,"YES",5,"YES",20,"NO",30.0711684319556
"FEMALE",60,"EMPLOYED IN PUBLIC SECTOR",1200,"MARRIED",0,"YES",0,"YES",10,"NO",22.038567493113
"MALE",37,"SELF-EMPLOYED",1200,"MARRIED",0,"NO",20,"NO",NA,"NO",27.4717071277136
"MALE",28,"EMPLOYED IN PRIVATE SECTOR",2000,"SINGLE",0,"NO",10,"NO",NA,"NO",28.6801110976935
"MALE",51,"SELF-EMPLOYED",3500,"MARRIED",3,"YES",10,"YES",15,"NO",22.4600343506408
"FEMALE",32,"OTHER ECONOMICALLY INACTIVE",1200,"MARRIED",3,"NO",2,"NO",NA,"NO",24.3823729785937
"FEMALE",26,"EMPLOYED IN PRIVATE SECTOR",1300,"SINGLE",1,"NO",2,"NO",NA,"NO",30.4831580551745
"FEMALE",32,"UNEMPLOYED",NA,"MARRIED",0,"NO",10,"YES",10,"NO",24.4444444444444
"MALE",34,"EMPLOYED IN PRIVATE SECTOR",1818,"MARRIED",5,"NO",0,"NO",NA,"NO",25.5040403769229
"FEMALE",85,"RETIRED",820,"WIDOWED",12,"YES",10,"NO",NA,"NO",26.0374939913475
"FEMALE",39,"EMPLOYED IN PUBLIC SECTOR",560,"MARRIED",2,"NO",1,"NO",NA,"NO",19.4674012855831
"FEMALE",70,"RETIRED",1300,"MARRIED",6,"YES",0,"NO",NA,"NO",29.1363163371488
"FEMALE",80,"RETIRED",1264,"WIDOWED",14,"YES",8,"YES",10,"NO",25.9515570934256
"FEMALE",37,"EMPLOYED IN PUBLIC SECTOR",4000,"DIVORCED",2,"NO",4,"NO",NA,"NO",23.1206235962479
"FEMALE",21,"EMPLOYED IN PRIVATE SECTOR",1000,"SINGLE",0,"NO",3,"NO",NA,"NO",22.65625
"FEMALE",55,"EMPLOYED IN PUBLIC SECTOR",2000,"SINGLE",0,"YES",5,"NO",NA,"NO",26.0261748958953
"MALE",60,"RETIRED",-8,"MARRIED",3,"YES",5,"NO",NA,"NO",26.2345679012346
"FEMALE",51,"EMPLOYED IN PRIVATE SECTOR",700,"MARRIED",3,"YES",8,"NO",NA,"NO",34.2935528120713
"MALE",17,"PUPIL OR STUDENT",-8,"SINGLE",9,"YES",3,"NO",NA,"NO",16.6042748460331
"FEMALE",55,"RETIRED",1400,"MARRIED",2,"NO",4,"NO",NA,"NO",30.0432622977087
"FEMALE",39,"EMPLOYED IN PRIVATE SECTOR",1500,"DIVORCED",5,"YES",3,"YES",10,"NO",25.3515413737155
"FEMALE",56,"LONG-TERM SICK/DISABLED",500,"WIDOWED",9,"YES",4,"YES",2,"NO",28.3987180007303
"FEMALE",61,"OTHER ECONOMICALLY INACTIVE",NA,"MARRIED",7,"YES",20,"YES",3,"NO",30.4218496484586
"MALE",59,"FARMER",-8,"MARRIED",7,"YES",4,"NO",NA,"NO",27.7176852352623
"FEMALE",58,"RETIRED",1111,"WIDOWED",3,"YES",6,"YES",15,"NO",17.6308539944904
"FEMALE",52,"EMPLOYED IN PRIVATE SECTOR",1200,"MARRIED",9,"YES",2,"YES",25,"NO",26.0374939913475
"FEMALE",91,"RETIRED",820,"WIDOWED",16,"YES",40,"NO",NA,"NO",22.4323025156225
"MALE",22,"PUPIL OR STUDENT",900,"SINGLE",0,"YES",4,"NO",NA,"NO",20.9905409714104
"FEMALE",46,"EMPLOYED IN PRIVATE SECTOR",1200,"MARRIED",0,"NO",20,"NO",NA,"NO",33.802055164954
"FEMALE",83,"LONG-TERM SICK/DISABLED",1100,"WIDOWED",18,"YES",2,"NO",NA,"NO",33.203125
"MALE",56,"EMPLOYED IN PRIVATE SECTOR",2000,"MARRIED",3,"NO",4,"NO",NA,"NO",28.734693877551
"FEMALE",63,"RETIRED",950,"MARRIED",0,"YES",3,"NO",NA,"NO",28.7639710716634
"FEMALE",49,"EMPLOYED IN PUBLIC SECTOR",1200,"MARRIED",0,"YES",1,"NO",NA,"NO",26.2335558041742
"FEMALE",64,"RETIRED",990,"MARRIED",9,"YES",2,"NO",NA,"NO",29.3723973825104
"MALE",24,"UNEMPLOYED",300,"SINGLE",3,"YES",4,"YES",20,"NO",29.0547520661157
"FEMALE",57,"EMPLOYED IN PUBLIC SECTOR",1229,"MARRIED",10,"NO",0,"NO",NA,"NO",19.3129520052597
"FEMALE",25,"EMPLOYED IN PUBLIC SECTOR",500,"SINGLE",3,"YES",30,"NO",NA,"NO",20.703125
"FEMALE",45,"EMPLOYED IN PRIVATE SECTOR",1300,"LEGALLY SEPARATED",5,"YES",4,"NO",NA,"NO",24.1671624033314
"FEMALE",36,"EMPLOYED IN PRIVATE SECTOR",1300,"DIVORCED",1,"YES",30,"NO",NA,"NO",22.8373702422145
